User,Reter,Comment,Votes,Time
@MorbidMorbidMorbid,,不仅惨遭偷跑 连名字都被迫害的六星,11,2019-10-13 14:59
@Shem_Shadow,,快快快周杰伦的饼!,6,2019-10-13 13:51
@正墨茶,,放心，家具都有描边的，实际的比图片更挫,5,2019-10-13 13:44
@无机质的理想乡,,压抑哦，再来个万圣节主题，中元节主题，废弃病栋主题啥的，罗德岛鬼屋冒险得了,5,2019-10-13 10:35
@五河川,,在?gkd，康康达尔文,4,2019-10-13 17:52
@夏尔斯_,,哲 ♂学 ♂仑的饼呢！！！！！,4,2019-10-13 17:40
@粽子好贵,,全聚德的饼呢,4,2019-10-13 17:27
@粽子好贵,,华莱士的饼呢,4,2019-10-13 17:27
@粽子好贵,,肯德基的饼呢,4,2019-10-13 17:27
@粽子好贵,,德克士的饼呢,5,2019-10-13 17:26
@粽子好贵,,麦当劳的饼呢,4,2019-10-13 17:26
@粽子好贵,,拿破仑的饼呢,4,2019-10-13 17:26
@fantasia_123,,看大家都在提意见我也提一个，能不能让办公室会客室可以降级啊……之前不知道办公室升到三级了可是又没什么用，招募票都用光了，我要这多出来又不会自己刷新的格子有何用,6,2019-10-13 15:33
@随眀,,虽然今天周末，但今天必定有饼！因为今天发麦哲伦，后天发活动维护，周二活动就开始了,5,2019-10-13 15:25
@银灰你压我头发了,,交出欧米茄不杀,3,2019-10-13 17:49
@Aiexusiai,,特仑苏的饼呢？gkdgkd,4,2019-10-13 17:36
@柿本三天不睡覺,,！！！！gkd！！让我在会客厅摆家具！！我要让好友看看我的八台钢琴！！！！！（尖叫）,3,2019-10-13 11:11
@阿阿腿,,买上6个床，罗德岛医院成了,5,2019-10-12 17:49
@鸢尾irisigfdccbn,,你管这叫家具？,4,2019-10-12 17:27
@没事跳一局,,新的小车干员！ 评论配图,6,2019-10-12 17:00
@青葙生田野,,真的有被吓到,4,2019-10-12 16:54
@认清但不热爱生活,,第二张是动图？,3,2019-10-12 16:54
@朔风中行走,,今天的饼呢，gkd！,3,2019-10-13 13:45
@瑬柒九十,,劳力士的饼呢搞快点,4,2019-10-13 17:41
@草香千品药,,我佛了 把六星放出来有那么难? 断层式宣传真有你的 不愧是只会画画的yj,4,2019-10-12 17:25
@叶拾屿,,哥白尼的饼呢又忘了吗,3,2019-10-13 17:43
@西番莲郁金香,,麦丽素的饼gkdgkd 孩子们都饿了,3,2019-10-13 17:34
@千纸千寒,,梅卡伦的饼什么时候放啊？,3,2019-10-13 16:53
@Sisuer少爷,,在？麦当劳gkd,5,2019-10-13 16:23
@十八禁的护妻狂魔,,我现在满脑子：方舟什么时候做动漫3分钟左右的泡面番，阿米娅Q版那么可爱来着,3,2019-10-13 07:25
@影子里的朋友,,突然想起，快到万圣节了,3,2019-10-13 06:01
@一点都不咸的方盐,,明明是消毒安全舱 黑乎乎的像个毒气室,2,2019-10-13 03:54
@米果酱_,,？哥伦布迷航了吗咋害没来我岛呢,3,2019-10-13 18:08
@咕丼咕丼,,宁这画饼速度我服气嗷,4,2019-10-13 18:01
@春原MOMO,,哥步林呢,3,2019-10-13 17:59
@饭团每天摸一张鱼,,麦当娜怎么还不出来,3,2019-10-13 17:37
@Canis_lupus_beothucus,,麦乐鸡的饼gkd,3,2019-10-13 17:24
@两仪式的黑猫,,求萨米乡别墅进家具商店,3,2019-10-13 17:21
@英语挂了,,拿破仑gkd！,3,2019-10-13 16:22
@BlUENuDE_54,,周日编辑发个预告，五分钟而已的事也算加班？,2,2019-10-13 16:12
@QQ碎碎冰,,搞快点麦迪文啊,3,2019-10-13 14:05
@ASHYISM,,期待！ 评论配图,2,2019-10-12 16:59
@Lilith_喵,,不愧是你。 买就完了,2,2019-10-12 16:56
@玉子湮,,属实硬核嗷,2,2019-10-12 16:54
@不贰0-0,,哥伦布的饼呢?,2,2019-10-13 17:58
@YeEJiannn,,我要让我的麦哲伦没有童年,2,2019-10-13 16:37
@-Ano撒-,,哥伦布——————,2,2019-10-13 14:31
@-Bastet-巴斯忒,,我看到了什么，是隔断。我爱隔断墙！,4,2019-10-13 11:44
@传奇摩托车手闪灵,,你们最后一句加上好像打广告的微商………,2,2019-10-12 17:05
@_薪九_,,四套全部装修完了开新房间吧不然放不下了,2,2019-10-12 17:05
@宇light梦,,麦哲伦的介绍啥时候曝光？,3,2019-10-13 10:26
@小汤宝莉_,,隆美尔gkd,2,2019-10-13 17:57
@桜庭kano,,我麦像素的饼呢，jio儿,3,2019-10-13 17:52
@鸦伴凄风,,麦丽素的饼呢,2,2019-10-13 17:50
@棘羽也叫朿羽,,哥伦布的饼呢，能不能gkd,3,2019-10-13 17:40
@粽子好贵,,汉堡王的饼呢,3,2019-10-13 17:28
@粽子好贵,,狗不理的饼呢,3,2019-10-13 17:27
@萍四儿,,在？卢本伟的饼还不来？,2,2019-10-13 17:10
@海盐青梅,,蹲！,1,2019-10-13 16:35
@咕嘿嘿Lo,,什么时候宿舍家具才能转向？,2,2019-10-13 14:06
@IRIASI,,考…考试院？【失智发言,2,2019-10-13 01:04
@_时渊_,,强迫症收集癖打算买不打算用，不是嫌他丑我是怕半夜回基建看一眼把自己吓死（）,3,2019-10-12 23:28
@最爱yoyo的猪,,在？为什么您的基建是3d的？,3,2019-10-12 21:44
@金持战队球球,,不知道拆哪间比较合适,1,2019-10-12 18:40
@谷坑流泪猫猫头,,无法理解，目前与其一套一套的出家具，不如好好思考下怎么满足玩家的装修需求，仓库里不知道堆了多少家具了，一共就四个宿舍,3,2019-10-12 18:16
@十三香龙虾球,,和钢铁猫猫头配合食用，一觉睡醒就是生化危机——,2,2019-10-12 18:02
@蓝湾都,,博士什么时候能有自己的办公室啊？会客厅能不能也装修一下啊？能有温室小花园和厨房吗？在没有理智的日子里我想种菜下厨啊！,3,2019-10-12 17:28
@10壳郎君,,麦泽伦底裤都被扒出来了还藏着掖着,4,2019-10-12 17:20
@雨帝爱林二,,哇 陨星要是二郎腿那简直酷毙了,1,2019-10-12 17:13
@朴星北风,,道理我都懂，咋还用的到挖掘机,2,2019-10-12 17:10
@Guilty月墟,,zai？你家房子不够放了，赶紧扩建,2,2019-10-12 17:10
@奇怪的夜间生物体,,今天yj发饼了吗？发了，家具饼（没错上面挂了一个我）,2,2019-10-12 17:08
@idlrake,,终于想起来自己是个末日游戏,3,2019-10-12 17:02
@波兰薛定谔,,忒～今天的饼索然无味,2,2019-10-12 17:01
@阿闲__,,@大胖脸大王 像不像笑笑之前直播的那个恐怖游戏阿拉亚！,2,2019-10-12 16:58
@Sugar-矜时,,我要在里面摆一张陈的办公桌,2,2019-10-12 16:58
@晨间剧女主角,,太硬核了,1,2019-10-12 16:57
@木木枭使用叶暴风,,给我康康麦哲伦！,2,2019-10-12 16:55
@秃头阿洛在线做法,,哦哦哦哦哦哦哦我冲了,1,2019-10-12 16:54
@寻-止,,我要看麦哲伦！,2,2019-10-12 16:53
@一只皮仔仔,,@一秦闲一 我觉得住在这里干员真的可以回复心情嘛？,1,2019-10-15 15:23
@深可人儿的被窝,,我的麦兜呢，GKDGKD,1,2019-10-13 18:21
@JelaLune,,10分了 黑布林gkd,1,2019-10-13 18:11
@企鹅消失于乙街,,在？看看哥伦布？,1,2019-10-13 18:07
@机智叽吱,,530了，你们是打算七点四十五发吗,1,2019-10-13 18:06
@远离我的巧克力,,麦哲伦：“？我到底叫什么”,1,2019-10-13 18:03
@Schwarz9,,达尔文gkd,2,2019-10-13 16:22
@南疆域北zz,,这床是专门给刀客塔准备的吧,1,2019-10-13 09:17
@头发加特技,,等你更新新6星，等你更新新up池，等你更新新章节，gkd啊！顺便求一波首充重置，可以过年的时候当福利重置吗？每年重置一次就很满足了，氪金更有动力！,1,2019-10-13 00:00
@海鲜君,,说实话，我想看我CP在这个小黑屋里面情趣PALY,1,2019-10-12 23:27
@辣辣人间蒸发,,并不是很喜欢，但不买如何能落实我暖暖玩家的光荣称号,1,2019-10-12 23:09
@卿歌绾,,我也想要这样的视角（大声！）,1,2019-10-14 09:28
@喵斯基MSJ,,在？行行好给个饼吧~快饿死了,0,2019-10-13 18:06
@春原MOMO,,我一直以为麦哲伦是那个航海家，现在才知道叫哥伦布,1,2019-10-13 18:05
@就是非酋,,哥伦布gkd,0,2019-10-13 17:08
@舞城有栖川,,啥时候出凯尔希啊，等的好难受,1,2019-10-12 22:48
@魁澈是过激眼镜厨,,能不能出一个床多一点的套装，有床才好休息啊,1,2019-10-12 20:59
@洒洒的肉包子,,不考虑出个预设自动轮换功能吗，家具主题多了宿舍不够用的啊,2,2019-10-12 18:33
@allblue麻里莫,,很猎奇很可爱美感一般般  攒了好几万的螺丝终于有地方用了w,2,2019-10-12 16:56
@眠于虚无的花花,,家具什么时候能换方向啊，好想把桌椅板凳床按自己喜欢的方向摆啊,0,2019-10-16 11:07
@上杉墨凡,,给个新宿舍吧！宿舍皮肤都放不下了,1,2019-10-15 16:38
@sky小金井,,530了你倒是发啊,0,2019-10-13 18:13
@有角星,,gkd我们麦克斯的饼呢,1,2019-10-13 18:13
@勒鱼吕,,我想着都18点了应该放饼了 真没想到啊还是你狠,2,2019-10-13 18:11
@棘羽也叫朿羽,,六点了啊哥哥来个饼秋梨膏,3,2019-10-13 18:08
@Linzdayo,,蹲一波6点15,1,2019-10-13 18:07
@夜桐Kriya,,微博数变成了530,1,2019-10-13 18:07
@Linzdayo,,麦香鸡腿堡！,1,2019-10-13 18:06
@鸠叼灯,,麦香鱼呢？,1,2019-10-13 18:04
@Linzdayo,,马克龙呢，搞快点！,1,2019-10-13 18:03
@就是非酋,,麦旋风呢？,1,2019-10-13 18:02
@岚岚岚雨,,AA 六点了啊 黑加仑的饼呢啊 再不出锅就糊了！,1,2019-10-13 18:01
@玄鹿歌,,看来达伽马迷路在海上了,1,2019-10-13 18:01
@不在-inai,,要发麦炫酷了吗！,1,2019-10-13 17:59
@今天爆富了吗,,再给你两分钟,1,2019-10-13 17:58
@源赖光今天亲我了吗,,别藏了，快把法拉第的饼交出来,2,2019-10-13 17:56
@今天也是一只没有孔明的阿树,,麦克白的饼呢？我想上学前看到,1,2019-10-13 17:55
@群鸦啊,,拿破仑gkd,1,2019-10-13 17:54
@暮雨醉笙潇,,拿破仑呢？？,1,2019-10-13 17:53
@玄鹿歌,,530了今天有饼，我放心了，不过活动具体到底赚什么啊（）有石头可以扣吗,2,2019-10-13 17:51
@江江江江子子,,哥伦布gkd,1,2019-10-13 17:48
@zero脑阔疼,,哥伦布GKD,1,2019-10-13 17:48
@我看热闹呢43054,,我的天，还不更，gkd,1,2019-10-13 17:37
@玄鹿歌,,在吗，薛定谔的饼呢，gkd,1,2019-10-13 17:32
@粽子好贵,,雅典娜的饼呢,1,2019-10-13 17:28
@粽子好贵,,饿了吗的饼呢,2,2019-10-13 17:28
@-泸沽寻梦,,新干员爱迪生的消息呢,1,2019-10-13 17:24
@蓝染桑,,530,1,2019-10-13 17:13
@经常跳坑bot,,马卡龙要来了？,1,2019-10-13 17:07
@SNH48-鸩的毒羽,,达芬奇的饼gkd啊,1,2019-10-13 17:05
@广义自回归条件异方差,,周日休息么,2,2019-10-13 17:03
@卧室战争,,孟德尔的饼gkd,2,2019-10-13 16:55
@发奋图强的ZadkingLee,,麦迪文gkd,1,2019-10-13 16:52
@萍卡叻,,今天放企鹅，明天放更新，秋梨膏,4,2019-10-13 16:27
@ThunderQAQ,,害不更博了，我麦哲伦了？,2,2019-10-13 16:20
@ZHCflight,,@明日方舟Arknights 牛批，鹰角，现在蓝色材料关卡掉率暗改的真明显，以前都是打三四次都会掉一个蓝色材料，现在打六七次都不掉一个蓝色材料，要不要暗改的这么恶心,1,2019-10-13 16:08
@krN泠泠,,为什么我看出一种scp收容所的感觉（xx,2,2019-10-13 15:43
@saddiess,,饼呢,1,2019-10-13 15:27
@卤蛋咚咚锵咚锵,,G—K—D！我要看臭鼬啊！,0,2019-10-13 15:24
@我不是真正的Simon,,gkd哥布林,1,2019-10-13 14:58
@RoyalSpy00Dog,,饼，请,1,2019-10-13 14:20
@峪荒_草蛩吟,,麦——哲——伦——,1,2019-10-13 13:57
@秋木苏苏,,角，下期谁进商店啊,1,2019-10-13 13:15
@好好学化学的逸江,,家具车：凭什么人家都是干员，而我却只是个家具…,1,2019-10-13 13:05
@一只利利呀,,在？康康六星饼？,2,2019-10-13 11:56
@你好我叫乾坤圈,,那个床是可以躺上去的吗？不会就是个摆设吧,1,2019-10-13 11:55
@QuieTRaiNBOW,,在？康康麦哲伦？,1,2019-10-13 11:52
@TIalittleD,,在吗？麦哲伦什么时候拿出来给我们康康,1,2019-10-13 11:28
@翼金鱼,,又要骗走我攒的5000家具零件了,1,2019-10-13 11:18
@右轮大人,,我的干员并不想住这个宿舍。。,0,2019-10-13 09:20
@墨璃漓,,有点阴森恐怖手术间的赶脚。。。,1,2019-10-13 09:16
@非到黑炭,,我要看麦哲伦,1,2019-10-13 08:54
@古典Hunt22,,我靠我以为第一张图就是个普通的全景放大了从左往右看，结果出现了个微微摇晃的人（陨星），大半夜给我吓死了,1,2019-10-12 23:40
@有只金鱼叫戚戚,,海景房+病床可还行,2,2019-10-12 22:30
@nekomeowwww,,麦哲伦gkd,1,2019-10-12 21:59
@玻璃袖易断,,宿舍装饰里有预设，可以存好多套啊，你存十套风格不同一天换一套也只需要一键,1,2019-10-12 21:51
@今天要来点儿兔子吗,,中枢6.0懂？,1,2019-10-12 21:50
@Shem_Shadow,,下个月可以有第六章+基建6.0吗,1,2019-10-12 20:57
@鹿啾今日也是如此的可爱,,我的莱茵生命信赖家具有地方放了,1,2019-10-12 19:07
@咕咕特化型叁仟,,能公布新6麦哲伦的数据吗？15号都能抽了啊,1,2019-10-12 18:41
@玉山颓风去,,我也想这个视角看宿舍,1,2019-10-12 18:37
@戒糖戒零食,,想把发电站都放在同一层，但是拆不了，后续可以出一个基建换位的便捷操作吗，需要消耗无人机也可以,1,2019-10-12 18:34
@DIKU来一碗赤豆元宵,,这房间里好多瓶瓶罐罐，我把小火龙放进去会爆炸吗,2,2019-10-12 18:30
@AoDan丶,,继闪灵卖身葬父后，肯定会有床头孝子的出现,3,2019-10-12 18:21
@沧域乄雪魄,,改名卡能不能一起出啊——？给个重新做人的机会……,1,2019-10-12 18:21
@已成定局的世界,,这张床是给我这个失智刀客塔准备的吗,1,2019-10-12 18:17
@馬也不野,,你跟我说这是宿舍？？,1,2019-10-12 17:49
@风芝笙,,每有一位刀客塔买了家具就有三个整人运动被扒光衣服，没有买卖就没有迫害，关爱整人运动从我做起，大家要团结起来,2,2019-10-12 17:45
@sunsnow囧,,能不能让大家玩家具交换呢？,1,2019-10-12 17:40
@无尽战刃鸭,,住在这么好的房间里，会不会影响我开玛莎拉蒂的手感,1,2019-10-12 17:39
@hallo时光清浅,,鹰角有点像生化危机噢,1,2019-10-12 17:31
@金色之暗00,,这也能水？,2,2019-10-12 17:28
@不是我不想学习,,这种氛围真的可以回复心情吗,3,2019-10-12 17:26
@准许屠宰,,求毒气室,1,2019-10-12 17:25
@Norris_洛野,,再开个可装饰的房间吧,1,2019-10-12 17:16
@Veigar_Island,,坐等今天的另外一张饼,1,2019-10-12 17:14
@-kaito,,6星官宣在哪里呢,1,2019-10-12 17:09
@洒洒的肉包子,,不紧急的时候是不是会被fafa0用来做实验室,1,2019-10-12 17:09
@四爷和甘蓝和地缚神和左轮,,麦哲伦到底要憋到什么时候,1,2019-10-12 17:08
@乔乔乔乔见,,好硬核啊，就是不知道这次地图怎么样,1,2019-10-12 17:07
@蒲公英嘤嘤嘤丶,,这么多家具。。。我披萨店 咖啡馆 办公室 海滩 排练室。已经放不下了啊。。,1,2019-10-12 17:07
@你该是温柔的风,,我喜欢这个！！！,1,2019-10-12 17:07
@即使如此也要过滚烫的人生啊,,我可太喜欢这个风格了,1,2019-10-12 17:04
@今天也要改个ID,,530！！,1,2019-10-12 17:04
@白云素潭,,我把病床放在了陈的办公室,0,2019-11-09 22:07
@Listen-乐宇,,这个房间看起来好压抑啊,0,2019-10-20 14:32
@樱井shou,,请问这套家具有需要买好几个的部件吗,0,2019-10-19 08:58
@瓜皮帅帅,,kfc真的 很 难 吃,0,2019-10-17 18:41
@执迷不悟皮皮虾,,发布前刚买一堆橘色主题,0,2019-10-17 16:16
@木心寿司,,这床真敢睡啊,1,2019-10-17 16:14
@闲三三三酱,,说说为什么给我五个斯卡蒂,0,2019-10-17 07:29
@战略性墙头草,,家具套装5825，然而里面东西加起来只要5730个零件，是不是bug呀……还是会有额外的限定家具？,0,2019-10-17 01:45
@哎呀我卡无敌,,啥时候能把家具系统优化下啊？,0,2019-10-16 23:58
@白云素潭,,我把病床放在了陈的办公室,0,2019-11-09 22:07
@Listen-乐宇,,这个房间看起来好压抑啊,0,2019-10-20 14:32
@樱井shou,,请问这套家具有需要买好几个的部件吗,0,2019-10-19 08:58
@瓜皮帅帅,,kfc真的 很 难 吃,0,2019-10-17 18:41
@执迷不悟皮皮虾,,发布前刚买一堆橘色主题,0,2019-10-17 16:16
@木心寿司,,这床真敢睡啊,1,2019-10-17 16:14
@闲三三三酱,,说说为什么给我五个斯卡蒂,0,2019-10-17 07:29
@战略性墙头草,,家具套装5825，然而里面东西加起来只要5730个零件，是不是bug呀……还是会有额外的限定家具？,0,2019-10-17 01:45
@哎呀我卡无敌,,啥时候能把家具系统优化下啊？,0,2019-10-16 23:58
@七柒漆lll,,Now entering the contaminated area,0,2019-10-16 18:56
